Default Dataset,,Dataset 1,,Dataset 2,,BOSS,
X,Y,X,Y,X,Y,X,Y
0.0007776372183362165,36644639693558810,0.016874244822913075,1555486769018683100,0.0004384275332920233,239512845213577000,0.000405326292737273,211292517688544200
0.0007796747557251356,45782052118328490,0.014999776240488231,1450647887100471300,0.0003948575337740304,271413868012722850,0.00044420147262528697,236208891204488900
0.0007796747557251356,59635663430471940,0.013509130252402506,1334212881571777800,0.00034643254904826755,286880930565827680,0.00048047748053201917,256810580060477220
0.0007796747557251356,77681366130129100,0.012166621504910975,1227123431662073300,0.00030394636235752493,303229414638670200,0.0005197159926868178,283121112570273760
0.0007796747557251356,114686346311739740,0.011248042641606752,1160531480153477600,0.0002632043344078516,311706258358343040,0.0005621589439641677,307814395875534800
0.0007796747557251356,151483451011668060,0.010263647703660712,1023769363036338800,0.0002370476452118622,316014752498954000,0.0006001640732534836,330029544055930300
0.0007796747557251356,239758173404506460,0.009365404056630763,890645050127664900,0.00020797632804856427,303024880192416260,0.0006577263057760484,363849907365278000
0.0007796747557251356,379473674057228400,0.008545771998065799,796695814660924500,0.00018247029195293384,282594608468370780,0.0007114399608159215,395584202139687300
0.0007796747557251356,454711993957340500,0.007596468411976491,683490027141325200,0.00017091543996131618,256338968361616300,0.0007899428032298885,424163355699184400
0.0007899428032298885,501239433187606340,0.0070229357089016805,611406658370336800,0.00015595743355294894,223006315259310850,0.0008771079314395596,461179534562427400
0.0008108863590555057,552540549746887740,0.006242795768958979,524529369721596160,0.00014608149680505524,202286976037956830,0.0009997117061122708,501449400808354100
0.0008323851861347216,609092259906705800,0.005771465232459925,462727295612201100,0.00013863296585329483,186067902104926820,0.0011696633031675224,522969541123930300
0.000854454006235303,671431954176399600,0.005405989703144478,413936006395081000,0.000133296882577994,166456116192945100,0.001315831957862829,545375167767154700
0.0008886591402489825,729942015431628400,0.004997837951687074,360118837784141630,0.0001248559153791797,148904507320632030,0.001480266788437619,568740720497463800
0.0009242335594252992,793550772462053100,0.004620501621894431,304700472080637400,0.00011542930464919852,131360003756347120,0.0016652504537968131,568859829873893900
0.0009612320783969305,874789877030794500,0.004327910363357997,265091538986053660,0.00010811979406288958,117509029336611760,0.0018249660017637661,561091031594917600
0.0009867169839027049,950998868852806300,0.004053847319196874,230631490532762660,0.00010395818487219764,111139958376482260,0.002026339309896479,561195481338755700
0.001012877564329484,1048332200168154900,0.0038471462113143016,200655676317701340,0.0001026068875676194,99430296778398140,0.002632422827136643,516487980955864960
0.0010397317336773328,1155627454357673500,0.0036990667669377364,172167718827755460,0.0001026068875676194,88956430187284720,0.003203230987106915,481946048034005440
0.001053424641848598,1291722858499358000,0.0035104555197314406,149790603103055330,0.0001026068875676194,76332227519472900,0.003747782199888802,468850446288641200
0.001053424641848598,1443812289967436800,0.003375335543957791,124996973387438770,0.0001026068875676194,65499581602110790,0.004053847319196874,462436695270648000
0.001053424641848598,1613808964473034200,0.003314071769544109,105772621135485490,0.0001026068875676194,53906494952673390,0.004501163403191116,469003194716946800
0.001012877564329484,1754194928662230800,0.003203230987106915,90756467568125230,0.0001026068875676194,43147766114117060,0.005063657752998009,475674004473576800
0.0009867169839027049,1960645291845430000,0.0030799363061338844,69668501578866980,0.0001026068875676194,37543225268176380,0.005622399949832124,482428470801484500
0.0009612320783969305,2161113303765092900,0.0030003877760020007,54990897525529624,0.0001026068875676194,30898268873228868,0.006242795768958979,482518277138349630
0.0009612320783969305,2449410638731808300,0.0029613873267407393,42806781635983544,,,0.006841547473131599,489358544510910340
0.0009867169839027049,2700104204240036400,0.0029613873267407393,34743412476397380,,,0.007596468411976491,503261098862881860
0.001053424641848598,2976663654761265700,0.0030003877760020007,30231231608170110,,,0.00843469004063529,503354783291784900
0.0011246421153760834,3281549837840603600,,,,,0.009488743196507431,510514188680176200
0.0012006742935669562,3518381243017830000,,,,,0.010535765226318272,503553920612834750
0.001265184632674038,3720094828824047000,,,,,0.01185238226059311,503659378146156160
0.0013507182812193459,3933464448611325400,,,,,0.01316021672039258,489928175319361300
0.0014997613912726792,4276732723971880000,,,,,0.014612362335252045,483248573636238400
0.001643604746415236,4459753595821969000,,,,,0.01643841718255734,450866695111106700
0.001849000174299261,4586560799638076400,,,,,0.018492667596661752,420654685498212540
0.0021352113301669304,4652013661342914000,,,,,0.02080363036433304,387044260779916600
0.0025644326657273653,4653529257159983000,,,,,0.023403385913556653,361108912141189900
0.0031615938865347886,4655261971292436000,,,,,0.02564802400805067,332240750075375500
0.0038471462113143016,4592540808016996400,,,,,0.028107947198208378,305680398071953500
0.00456044217207678,4467854682134360600,,,,,0.030008203662674177,281230275492422880
0.005197909243609881,4346250362241874000,,,,,0.03245884351962999,266043104151003620
0.006242795768958979,4169924446226713000,,,,,0.03604046898081273,248210115466225380
0.007497725948340387,3945471937768221000,,,,,0.039497140161494415,231567092042730050
0.008887872654521371,3838353540509703000,,,,,0.04385539657197797,219072056800145440
0.01013023599111352,3839246720827352600,,,,,0.049335849195135235,207256058327088480
0.011396175482039795,3948410631112523300,,,,,0.05550117445204859,196077374452498560
0.012326851712016456,4117285306540112400,,,,,0.06493640780872241,182951246275457020
,,,,,,0.07401333942188094,173087508156892600
,,,,,,0.08326252268984055,166046087901741400
,,,,,,0.09366754342970082,161522952249987700
,,,,,,0.1,161541744256564030
